	Strategy	Query	Class	Value
592	LAL_iter	q2	film noir	1
593	LAL_iter	q2	adventure	4
594	LAL_iter	q2	horror	0
595	LAL_iter	q2	thriller	1
596	LAL_iter	q2	unknown	3
597	LAL_iter	q2	crime drama	2
598	LAL_iter	q2	romance	0
599	LAL_iter	q2	drama	29
600	LAL_iter	q2	western	14
601	LAL_iter	q2	comedy	32
602	LAL_iter	q3	musical	6
603	LAL_iter	q3	crime	7
604	LAL_iter	q3	action	1
605	LAL_iter	q3	mystery	1
606	LAL_iter	q3	film noir	6
607	LAL_iter	q3	adventure	3
608	LAL_iter	q3	horror	3
609	LAL_iter	q3	thriller	2
610	LAL_iter	q3	unknown	3
611	LAL_iter	q3	crime drama	4
612	LAL_iter	q3	romance	4
613	LAL_iter	q3	drama	38
614	LAL_iter	q3	western	2
615	LAL_iter	q3	comedy	20
616	LAL_iter	q4	musical	2
617	LAL_iter	q4	crime	19
618	LAL_iter	q4	action	3
619	LAL_iter	q4	mystery	2
620	LAL_iter	q4	film noir	1
621	LAL_iter	q4	adventure	4
622	LAL_iter	q4	horror	6
623	LAL_iter	q4	thriller	4
624	LAL_iter	q4	unknown	11
625	LAL_iter	q4	crime drama	1
626	LAL_iter	q4	romance	2
627	LAL_iter	q4	drama	27
628	LAL_iter	q4	western	1
629	LAL_iter	q4	comedy	17
630	LAL_iter	q5	musical	0
631	LAL_iter	q5	crime	0
632	LAL_iter	q5	action	12
633	LAL_iter	q5	mystery	0
634	LAL_iter	q5	film noir	0
635	LAL_iter	q5	adventure	2
636	LAL_iter	q5	horror	3
637	LAL_iter	q5	thriller	6
638	LAL_iter	q5	unknown	30
639	LAL_iter	q5	crime drama	0
640	LAL_iter	q5	romance	5
641	LAL_iter	q5	drama	18
642	LAL_iter	q5	western	5
643	LAL_iter	q5	comedy	19
644	LAL_iter	q6	musical	0
645	LAL_iter	q6	crime	0
646	LAL_iter	q6	action	8
647	LAL_iter	q6	mystery	0
648	LAL_iter	q6	film noir	0
649	LAL_iter	q6	adventure	0
650	LAL_iter	q6	horror	3
651	LAL_iter	q6	thriller	5
652	LAL_iter	q6	unknown	44
653	LAL_iter	q6	crime drama	0
654	LAL_iter	q6	romance	7
655	LAL_iter	q6	drama	25
656	LAL_iter	q6	western	0
657	LAL_iter	q6	comedy	8
658	LAL_iter	q7	musical	0
659	LAL_iter	q7	crime	0
660	LAL_iter	q7	action	0
661	LAL_iter	q7	mystery	0
662	LAL_iter	q7	film noir	0
663	LAL_iter	q7	adventure	0
664	LAL_iter	q7	horror	0
665	LAL_iter	q7	thriller	0
666	LAL_iter	q7	unknown	92
667	LAL_iter	q7	crime drama	0
668	LAL_iter	q7	romance	5
669	LAL_iter	q7	drama	2
670	LAL_iter	q7	western	0
671	LAL_iter	q7	comedy	1
672	LAL_indep	q0	musical	3
673	LAL_indep	q0	crime	0
674	LAL_indep	q0	action	1
675	LAL_indep	q0	mystery	0
676	LAL_indep	q0	film noir	2
677	LAL_indep	q0	adventure	4
678	LAL_indep	q0	horror	2
679	LAL_indep	q0	thriller	7
680	LAL_indep	q0	unknown	28
681	LAL_indep	q0	crime drama	0
682	LAL_indep	q0	romance	1
683	LAL_indep	q0	drama	26
684	LAL_indep	q0	western	5
685	LAL_indep	q0	comedy	21
686	LAL_indep	q1	musical	2
687	LAL_indep	q1	crime	7
688	LAL_indep	q1	action	12
689	LAL_indep	q1	mystery	2
690	LAL_indep	q1	film noir	1
691	LAL_indep	q1	adventure	5
692	LAL_indep	q1	horror	2
693	LAL_indep	q1	thriller	7
694	LAL_indep	q1	unknown	14
695	LAL_indep	q1	crime drama	0
696	LAL_indep	q1	romance	1
697	LAL_indep	q1	drama	28
698	LAL_indep	q1	western	3
699	LAL_indep	q1	comedy	16
700	LAL_indep	q2	musical	2
701	LAL_indep	q2	crime	7
702	LAL_indep	q2	action	10
703	LAL_indep	q2	mystery	2
704	LAL_indep	q2	film noir	3
705	LAL_indep	q2	adventure	3
706	LAL_indep	q2	horror	3
