	Strategy	Query	Class	Value
676	EER	q1	sci.med	4
677	EER	q1	talk.religion.misc	1
678	EER	q1	sci.electronics	2
679	EER	q1	soc.religion.christian	2
680	EER	q2	rec.sport.hockey	0
681	EER	q2	rec.autos	0
682	EER	q2	comp.sys.ibm.pc.hardware	7
683	EER	q2	comp.os.ms-windows.misc	2
684	EER	q2	alt.atheism	1
685	EER	q2	talk.politics.mideast	0
686	EER	q2	comp.graphics	47
687	EER	q2	sci.space	1
688	EER	q2	rec.sport.baseball	0
689	EER	q2	misc.forsale	19
690	EER	q2	talk.politics.guns	0
691	EER	q2	rec.motorcycles	0
692	EER	q2	comp.windows.x	3
693	EER	q2	sci.crypt	1
694	EER	q2	comp.sys.mac.hardware	3
695	EER	q2	talk.politics.misc	0
696	EER	q2	sci.med	0
697	EER	q2	talk.religion.misc	6
698	EER	q2	sci.electronics	5
699	EER	q2	soc.religion.christian	5
